province,date,tempMax,tempMin,tempAvg,precipitation,humidity,source,year,month,day
"bangkok","2020-04-24",32.20,26.20,29.20,1.50,72.70,"open-meteo",2020,04,24
"bangkok","2020-04-25",32.00,25.70,28.85,16.50,83.72,"open-meteo",2020,04,25
"bangkok","2020-04-26",32.50,25.90,29.20,0.00,68.20,"open-meteo",2020,04,26
"bangkok","2020-04-27",31.40,26.00,28.70,10.10,83.95,"open-meteo",2020,04,27
"bangkok","2020-04-28",33.40,25.50,29.45,0.10,68.13,"open-meteo",2020,04,28
"bangkok","2020-04-29",32.20,26.00,29.10,4.90,83.05,"open-meteo",2020,04,29
"bangkok","2020-04-30",33.20,26.10,29.65,0.90,70.22,"open-meteo",2020,04,30
"bangkok","2020-05-01",33.30,26.90,30.10,0.30,67.75,"open-meteo",2020,05,01
"bangkok","2020-05-02",33.70,27.00,30.35,0.00,66.47,"open-meteo",2020,05,02
"bangkok","2020-05-03",34.30,27.30,30.80,0.20,66.40,"open-meteo",2020,05,03
"bangkok","2020-05-04",33.30,28.10,30.70,3.10,75.25,"open-meteo",2020,05,04
"bangkok","2020-05-05",35.20,27.80,31.50,0.30,65.65,"open-meteo",2020,05,05
"bangkok","2020-05-06",35.70,28.70,32.20,0.00,63.70,"open-meteo",2020,05,06
"bangkok","2020-05-07",35.00,29.00,32.00,0.00,64.00,"open-meteo",2020,05,07
"bangkok","2020-05-08",35.30,29.50,32.40,1.70,68.50,"open-meteo",2020,05,08
"bangkok","2020-05-09",36.50,29.40,32.95,0.20,63.17,"open-meteo",2020,05,09
"bangkok","2020-05-10",35.80,29.20,32.50,0.10,63.55,"open-meteo",2020,05,10
"bangkok","2020-05-11",33.30,27.50,30.40,4.30,79.30,"open-meteo",2020,05,11
"bangkok","2020-05-12",33.70,25.50,29.60,0.00,67.60,"open-meteo",2020,05,12
"bangkok","2020-05-13",34.50,27.60,31.05,0.00,65.42,"open-meteo",2020,05,13
"bangkok","2020-05-14",35.20,27.90,31.55,0.70,66.77,"open-meteo",2020,05,14
"bangkok","2020-05-15",35.00,28.10,31.55,0.20,65.27,"open-meteo",2020,05,15
"bangkok","2020-05-16",35.80,28.90,32.35,0.00,63.48,"open-meteo",2020,05,16
"bangkok","2020-05-17",35.50,28.90,32.20,3.10,73.00,"open-meteo",2020,05,17
"bangkok","2020-05-18",36.50,28.00,32.25,2.80,72.03,"open-meteo",2020,05,18
"bangkok","2020-05-19",34.50,28.00,31.25,4.60,78.92,"open-meteo",2020,05,19
