province,period,avgTemperature,avgRainfall,avgHumidity,weatherScore,year,month
"trat","2020-09",26.93,15.31,85.93,78,2020,09
"trat","2020-10",26.24,13.10,83.11,82,2020,10
"trat","2020-11",27.00,4.80,75.60,93,2020,11
"trat","2020-12",26.71,1.34,74.82,96,2020,12
"trat","2021-01",26.33,0.56,74.18,98,2021,01
"trat","2021-02",27.67,0.56,72.00,97,2021,02
"trat","2021-03",28.20,4.53,77.17,90,2021,03
"trat","2021-04",27.91,6.93,81.74,83,2021,04
"trat","2021-05",28.00,11.21,83.64,81,2021,05
"trat","2021-06",27.41,11.12,84.44,80,2021,06
"trat","2021-07",26.94,17.72,85.28,77,2021,07
"trat","2021-08",27.00,14.98,86.04,77,2021,08
"trat","2021-09",26.35,20.44,86.18,76,2021,09
"trat","2021-10",26.56,15.93,84.36,79,2021,10
"trat","2021-11",26.86,9.26,81.07,86,2021,11
"trat","2021-12",26.27,1.76,74.46,96,2021,12
"trat","2022-01",27.56,0.94,73.35,96,2022,01
"trat","2022-02",27.44,4.32,76.87,92,2022,02
"trat","2022-03",27.66,6.95,83.04,83,2022,03
"trat","2022-04",27.93,6.74,80.15,86,2022,04
"trat","2022-05",26.83,14.55,85.93,78,2022,05
"trat","2022-06",27.68,6.86,81.53,85,2022,06
"trat","2022-07",26.81,19.43,85.49,76,2022,07
"trat","2022-08",26.37,21.83,86.32,75,2022,08
"trat","2022-09",26.15,19.41,86.95,75,2022,09
"trat","2022-10",26.63,9.84,80.49,86,2022,10
"trat","2022-11",26.97,3.41,77.46,91,2022,11
"trat","2022-12",25.93,0.16,73.59,98,2022,12
"trat","2023-01",25.52,2.18,75.89,96,2023,01
"trat","2023-02",27.37,2.73,74.58,94,2023,02
"trat","2023-03",28.44,1.67,73.14,95,2023,03
"trat","2023-04",29.10,6.63,77.99,86,2023,04
"trat","2023-05",28.58,5.90,80.56,86,2023,05
"trat","2023-06",27.33,13.47,84.01,80,2023,06
"trat","2023-07",26.66,25.15,85.65,74,2023,07
"trat","2023-08",26.79,14.42,86.68,78,2023,08
"trat","2023-09",26.44,24.33,86.69,73,2023,09
"trat","2023-10",27.21,10.29,84.61,81,2023,10
"trat","2023-11",27.37,3.27,76.89,92,2023,11
"trat","2023-12",27.76,0.93,72.54,96,2023,12
